21.2 Lac,  1 BHK Apartment 
1.21 Cr,  3 BHK Apartment 
2.13 Cr,  4 BHK Apartment 
51 Lac,  3 BHK Apartment 
43.9 Lac,  3 BHK Apartment 
94.5 Lac,  3 BHK Apartment 
25.5 Lac,  2 BHK Apartment 
93.4 Lac,  3 BHK Apartment 
1.12 Cr,  4 BHK Penthouse 
22.6 Lac,  2 BHK Apartment 
39 Lac,  3 BHK Apartment 
26.3 Lac,  2 BHK Apartment 
42 Lac,  2 BHK Apartment 
1.03 Cr,  4 BHK Apartment 
43 Lac,  3 BHK Apartment 
52 Lac,  3 BHK Apartment 
1.20 Cr,  3 BHK Builder Floor 
41.5 Lac,  3 BHK Apartment 
45 Lac,  2 BHK Apartment 
37.5 Lac,  2 BHK Apartment 
45.9 Lac,  3 BHK Apartment 
1.05 Cr,  3 BHK Apartment 
1.05 Cr,  3 BHK Apartment 
53 Lac,  3 BHK Apartment 
46.4 Lac,  3 BHK Apartment 
38.2 Lac,  2 BHK Apartment 
88.4 Lac,  3 BHK Apartment 
2.31 Cr,  4 BHK Apartment 
1.64 Cr,  4 BHK Apartment 
45.8 Lac,  3 BHK Apartment 
